rule_code,relation_type,source_product_code,source_selector_json,target_product_code,target_selector_json,allowed,system,height_mm,width_mm,material_code,finish_code,source_document,source_printed_page,source_pdf_page,verification_status,note
ALLOW-WSL-105-400-E3,project_selection,WSL 105.400 E3,,,,true,WSL,105,400,stainless_1.4301_1.4303,E3,KAT_NX_KR 2022.pdf,KR 426,430,verified,Allow-list entry derived from an explicit catalog row
ALLOW-WSL-105-500-E3,project_selection,WSL 105.500 E3,,,,true,WSL,105,500,stainless_1.4301_1.4303,E3,KAT_NX_KR 2022.pdf,KR 426,430,verified,Allow-list entry derived from an explicit catalog row
ALLOW-WSL-105-600-E3,project_selection,WSL 105.600 E3,,,,true,WSL,105,600,stainless_1.4301_1.4303,E3,KAT_NX_KR 2022.pdf,KR 426,430,verified,Allow-list entry derived from an explicit catalog row
ALLOW-DAM-6X5-CONCRETE,anchor_substrate,DAM 6X5,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,156,19,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-DAM-6X10-CONCRETE,anchor_substrate,DAM 6X10,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,156,19,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-DAZ-8X10-CONCRETE,anchor_substrate,DAZ 8X10,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,156,19,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-DAZ-10X10-CONCRETE,anchor_substrate,DAZ 10X10,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,156,19,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-DAZ-12X10-CONCRETE,anchor_substrate,DAZ 12X10,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,156,19,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-DAZ-10X30-CONCRETE,anchor_substrate,DAZ 10X30,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,156,19,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-DAZ-16X25-CONCRETE,anchor_substrate,DAZ 16X25,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,156,19,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-NSA-6X35-FKK-T30-V-CONCRETE,anchor_substrate,NSA 6X35/FKK-T30 V,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,157,20,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-NSA-6X50-FKK-T30-V-CONCRETE,anchor_substrate,NSA 6X50/FKK-T30 V,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,157,20,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-NSA-6X55-SW10-M6-V-CONCRETE,anchor_substrate,NSA 6X55/SW10-M6 V,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,157,20,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-NSA-7-5X40-FKG-T30-V-CONCRETE,anchor_substrate,NSA 7.5X40/FKG-T30 V,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,157,20,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
ALLOW-NSA-7-5X50-FKG-T30-V-CONCRETE,anchor_substrate,NSA 7.5X50/FKG-T30 V,,,"{""substrate"":""concrete""}",true,concrete,,,steel,V,1.-Electrical-installation-materials.pdf,157,20,verified,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
REQUIRE-KSV-FOR-KLTA,separately_ordered_connector,,"{""product_family"":""KLTA"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-KSV-FOR-KLAR,separately_ordered_connector,,"{""product_family"":""KLAR"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-KSV-FOR-KLAL,separately_ordered_connector,,"{""product_family"":""KLAL"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-KSV-FOR-KLE,separately_ordered_connector,,"{""product_family"":""KLE"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-KSV-FOR-KLT,separately_ordered_connector,,"{""product_family"":""KLT"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-KSV-FOR-KLK,separately_ordered_connector,,"{""product_family"":""KLK"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-KSV-FOR-KLBK,separately_ordered_connector,,"{""product_family"":""KLBK"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-KSV-FOR-KLBG,separately_ordered_connector,,"{""product_family"":""KLBG"",""system"":""KL""}",,"{""product_family"":""KSV"",""system"":""KL""}",true,KL,60,,,,KAT_NX_KR 2022.pdf,KR 342-346,346,verified,KSV connectors are not included and must be ordered separately
REQUIRE-WSV-FOR-WSBR,separately_ordered_connector,,"{""product_family"":""WSBR"",""system"":""WSL""}",,"{""product_family"":""WSV"",""system"":""WSL""}",true,WSL,105,,,,KAT_NX_KR 2022.pdf,KR 429,433,verified,WSV connectors are not included and must be ordered separately
REQUIRE-WSV-FOR-WSTR,separately_ordered_connector,,"{""product_family"":""WSTR"",""system"":""WSL""}",,"{""product_family"":""WSV"",""system"":""WSL""}",true,WSL,105,,,,KAT_NX_KR 2022.pdf,KR 429,433,verified,WSV connectors are not included and must be ordered separately
