product_code,attribute_key,value_text,value_number,value_boolean,unit,source_document,source_printed_page,source_pdf_page,source_table_or_row
NSA 6X50/FKK-T30 V,length,,50,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V
NSA 6X50/FKK-T30 V,head_drive,T30 pan-head,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V
NSA 6X50/FKK-T30 V,drill_hole_diameter,,5,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V
NSA 6X50/FKK-T30 V,maximum_mounting_thickness_options,5/15,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V
NSA 6X50/FKK-T30 V,recommended_tightening_torque,,10,,Nm,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V
NSA 6X50/FKK-T30 V,substrate,concrete,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V
NSA 6X50/FKK-T30 V,catalog_application_example,pipe clamps,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V
NSA 6X55/SW10-M6 V,diameter,,6,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 6X55/SW10-M6 V,length,,55,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 6X55/SW10-M6 V,head_drive,10 mm hex head,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 6X55/SW10-M6 V,drill_hole_diameter,,5,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 6X55/SW10-M6 V,connection_thread,M6x10,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 6X55/SW10-M6 V,recommended_tightening_torque,,10,,Nm,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 6X55/SW10-M6 V,substrate,concrete,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 6X55/SW10-M6 V,catalog_application_example,pipe clamps,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V
NSA 7.5X40/FKG-T30 V,diameter,,7.5,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X40/FKG-T30 V,length,,40,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X40/FKG-T30 V,head_drive,T30 large-diameter pan-head,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X40/FKG-T30 V,drill_hole_diameter,,6,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X40/FKG-T30 V,maximum_mounting_thickness,,5,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X40/FKG-T30 V,recommended_tightening_torque,,20,,Nm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X40/FKG-T30 V,substrate,concrete,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X40/FKG-T30 V,catalog_application_example,framing channel,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V
NSA 7.5X50/FKG-T30 V,diameter,,7.5,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
NSA 7.5X50/FKG-T30 V,length,,50,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
NSA 7.5X50/FKG-T30 V,head_drive,T30 large-diameter pan-head,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
NSA 7.5X50/FKG-T30 V,drill_hole_diameter,,6,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
NSA 7.5X50/FKG-T30 V,maximum_mounting_thickness,,15,,mm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
NSA 7.5X50/FKG-T30 V,recommended_tightening_torque,,20,,Nm,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
NSA 7.5X50/FKG-T30 V,substrate,concrete,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
NSA 7.5X50/FKG-T30 V,catalog_application_example,framing channel,,,,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V
