parent_product_code,included_product_code,quantity,unit,source_document,source_printed_page,source_pdf_page,source_table_or_row,note
KLAB 500 F,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500 F,Two cage nuts are included according to the table
KLAB 600 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 F,Two bolts are included according to the table
KLAB 600 F,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 F,Two cage nuts are included according to the table
KLAB 200 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200 E3,Two bolts are included according to the table
KLAB 200 E3,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200 E3,Two cage nuts are included according to the table
KLAB 300 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300 E3,Two bolts are included according to the table
KLAB 300 E3,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300 E3,Two cage nuts are included according to the table
KLAB 400 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400 E3,Two bolts are included according to the table
KLAB 400 E3,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400 E3,Two cage nuts are included according to the table
KLAB 500 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500 E3,Two bolts are included according to the table
KLAB 500 E3,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500 E3,Two cage nuts are included according to the table
KLAB 600 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 E3,Two bolts are included according to the table
KLAB 600 E3,GSM 306 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 E3,Two cage nuts are included according to the table
KLTB 6,FLM 6X16 F,1,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6,One fastener is supplied with each fixing
KLTB 6 F,FLM 6X16 F,1,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6 F,One fastener is supplied with each fixing
KLTB 6 E3,FLM 6X12 E3,1,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6 E3,One fastener is supplied with each fixing
