code,description_en,category,product_family,system,catalog_version,pack_quantity,pack_unit,order_unit,ean,height_mm,width_mm,length_mm,material_code,finish_code,weight_value,weight_unit,weight_basis_quantity,weight_basis_unit,approval_number,dop_number,indoor_only,engineering_verification_required,is_orderable,source_document,source_printed_page,source_pdf_page,source_table_or_row,engineering_note
WSL 105.300,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,300709,105,300,6000,steel,S,573.36,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 S width 300,
WSL 105.400,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,300808,105,400,6000,steel,S,600.58,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 S width 400,
WSL 105.500,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,300907,105,500,6000,steel,S,626.04,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 S width 500,
WSL 105.600,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,301003,105,600,6000,steel,S,653.26,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 S width 600,
WSL 105.200 F,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,577606,105,200,6000,steel,F,601.32,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 F width 200,
WSL 105.300 F,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,577705,105,300,6000,steel,F,631.26,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 F width 300,
WSL 105.400 F,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,577804,105,400,6000,steel,F,661.2,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 F width 400,
WSL 105.500 F,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,577903,105,500,6000,steel,F,689.21,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 F width 500,
WSL 105.600 F,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,578009,105,600,6000,steel,F,719.15,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 F width 600,
WSL 105.200 E3,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,726509,105,200,6000,stainless_1.4301_1.4303,E3,549.63,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 E3 width 200,
