code,description_en,category,product_family,system,catalog_version,pack_quantity,pack_unit,order_unit,ean,height_mm,width_mm,length_mm,material_code,finish_code,weight_value,weight_unit,weight_basis_quantity,weight_basis_unit,approval_number,dop_number,indoor_only,engineering_verification_required,is_orderable,source_document,source_printed_page,source_pdf_page,source_table_or_row,engineering_note
KLAR 60.603,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.603,
KLAR 60.203 F,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.203 F,
KLAR 60.303 F,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.303 F,
KLAR 60.403 F,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.403 F,
KLAR 60.503 F,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.503 F,
KLAR 60.603 F,Right-hand T-outlet,fitting,KLAR,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAR 60.603 F,
KLAL 60.203,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.203,
KLAL 60.303,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.303,
KLAL 60.403,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.403,
KLAL 60.503,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.503,
KLAL 60.603,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.603,
KLAL 60.203 F,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.203 F,
KLAL 60.303 F,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.303 F,
KLAL 60.403 F,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.403 F,
KLAL 60.503 F,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.503 F,
KLAL 60.603 F,Left-hand T-outlet,fitting,KLAL,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLAL 60.603 F,
KLE 60.203,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.203,
KLE 60.303,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.303,
KLE 60.403,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.403,
KLE 60.503,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.503,
KLE 60.603,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.603,
KLE 60.203 F,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.203 F,
KLE 60.303 F,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.303 F,
KLE 60.403 F,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.403 F,
KLE 60.503 F,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.503 F,
KLE 60.603 F,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.603 F,
KLE 60.203 E5,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,200,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.203 E5,
KLE 60.303 E5,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,300,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.303 E5,
KLE 60.403 E5,Corner piece,fitting,KLE,KL,2022-p0,1,pcs,pcs,,60,400,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 343,347,KLE 60.403 E5,
KLT 60.203,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.203,
KLT 60.303,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.303,
KLT 60.403,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.403,
KLT 60.503,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.503,
KLT 60.603,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.603,
KLT 60.203 F,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.203 F,
KLT 60.303 F,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.303 F,
KLT 60.403 F,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.403 F,
KLT 60.503 F,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.503 F,
KLT 60.603 F,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.603 F,
KLT 60.203 E3,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.203 E3,
KLT 60.303 E3,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.303 E3,
KLT 60.403 E3,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.403 E3,
KLT 60.503 E3,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.503 E3,
KLT 60.603 E3,T-piece,fitting,KLT,KL,2022-p0,1,pcs,pcs,,60,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLT 60.603 E3,
KLK 60.203,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.203,
KLK 60.303,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.303,
KLK 60.403,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.403,
KLK 60.503,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.503,
KLK 60.603,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.603,
KLK 60.203 F,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.203 F,
KLK 60.303 F,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.303 F,
KLK 60.403 F,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.403 F,
KLK 60.503 F,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.503 F,
KLK 60.603 F,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.603 F,
KLK 60.203 E3,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.203 E3,
KLK 60.303 E3,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.303 E3,
KLK 60.403 E3,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.403 E3,
KLK 60.503 E3,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.503 E3,
KLK 60.603 E3,Crossing,fitting,KLK,KL,2022-p0,1,pcs,pcs,,60,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 344,348,KLK 60.603 E3,
KLBK 60.203,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.203,
KLBK 60.303,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.303,
KLBK 60.403,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.403,
KLBK 60.503,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.503,
KLBK 60.603,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.603,
KLBK 60.203 F,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.203 F,
KLBK 60.303 F,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.303 F,
KLBK 60.403 F,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.403 F,
KLBK 60.503 F,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.503 F,
KLBK 60.603 F,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.603 F,
KLBK 60.203 E3,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.203 E3,
KLBK 60.303 E3,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.303 E3,
KLBK 60.403 E3,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.403 E3,
KLBK 60.503 E3,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.503 E3,
KLBK 60.603 E3,Small 90-degree bend,fitting,KLBK,KL,2022-p0,1,pcs,pcs,,60,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBK 60.603 E3,
KLBG 60.203,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.203,
KLBG 60.303,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.303,
KLBG 60.403,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.403,
KLBG 60.503,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.503,
KLBG 60.603,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.603,
KLBG 60.203 F,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.203 F,
KLBG 60.303 F,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.303 F,
KLBG 60.403 F,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.403 F,
KLBG 60.503 F,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.503 F,
KLBG 60.603 F,Large 90-degree bend,fitting,KLBG,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 345,349,KLBG 60.603 F,
KGS 60.203,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.203,
KGS 60.303,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.303,
KGS 60.403,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.403,
KGS 60.503,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.503,
KGS 60.603,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.603,
KGS 60.203 F,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.203 F,
KGS 60.303 F,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.303 F,
KGS 60.403 F,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.403 F,
KGS 60.503 F,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.503 F,
KGS 60.603 F,Adjustable vertical bend,fitting,KGS,KL,2022-p0,1,pcs,pcs,,60,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGS 60.603 F,
KWV 60 S,Angle connector,accessory,KWV,KL,2022-p0,20,pcs,pcs,,60,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 S,
KWV 60 F,Angle connector,accessory,KWV,KL,2022-p0,20,pcs,pcs,,60,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 F,
KWV 60 E3,Angle connector,accessory,KWV,KL,2022-p0,20,pcs,pcs,,60,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 E3,
KWV 60 E5,Angle connector,accessory,KWV,KL,2022-p0,20,pcs,pcs,,60,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KWV 60 E5,
KGV 60 S,Articulated connector,accessory,KGV,KL,2022-p0,10,pcs,pcs,,60,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 S,
KGV 60 F,Articulated connector,accessory,KGV,KL,2022-p0,10,pcs,pcs,,60,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 F,
KGV 60 E3,Articulated connector,accessory,KGV,KL,2022-p0,10,pcs,pcs,,60,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 E3,
KGV 60 E5,Articulated connector,accessory,KGV,KL,2022-p0,10,pcs,pcs,,60,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KGV 60 E5,
KLAS 60,Cable-ladder connection piece,accessory,KLAS,KL,2022-p0,20,pcs,pcs,,60,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 346,350,KLAS 60,
SKK 60,Protective cap pair,accessory,SKK,KL,2022-p0,10,pairs,pairs,,60,,,polyethylene,K03,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 347,351,SKK 60,
KLAB 200,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200,
KLAB 300,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300,
KLAB 400,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400,
KLAB 500,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500,
KLAB 600,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600,
KLAB 200 F,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200 F,
KLAB 300 F,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300 F,
KLAB 400 F,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400 F,
KLAB 500 F,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500 F,
KLAB 600 F,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 F,
KLAB 200 E3,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 200 E3,
KLAB 300 E3,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 300 E3,
KLAB 400 E3,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 400 E3,
KLAB 500 E3,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 500 E3,
KLAB 600 E3,Cable-ladder end outlet plate,accessory,KLAB,KL,2022-p0,1,pcs,pcs,,,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLAB 600 E3,
KLTB 6,Cable-ladder fixing,wstb,KLTB,KL,2022-p0,50,pcs,pcs,,,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6,
KLTB 6 F,Cable-ladder fixing,wstb,KLTB,KL,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6 F,
KLTB 6 E3,Cable-ladder fixing,wstb,KLTB,KL,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6 E3,
KLTB 6 E5,Cable-ladder fixing,wstb,KLTB,KL,2022-p0,50,pcs,pcs,,,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6 E5,
WWU 150/8,Equal wall connection angle,support,WWU,KL_WSL,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,WWU 150/8,
WWU 150/8 E3,Equal wall connection angle,support,WWU,KL_WSL,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,WWU 150/8 E3,
WWU 150/8 E5,Equal wall connection angle,support,WWU,KL_WSL,2022-p0,50,pcs,pcs,,,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 355,359,WWU 150/8 E5,
WWA 100,Asymmetric wall connection angle,support,WWA,KL_WSL,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 356,360,WWA 100,
WWA 100 E3,Asymmetric wall connection angle,support,WWA,KL_WSL,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 356,360,WWA 100 E3,
WTK 150 S,Wide-span beam clamp,support,WTK,KL_WSL,2022-p0,20,pcs,pcs,,,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 356,360,WTK 150 S,
WTK 150 F,Wide-span beam clamp,support,WTK,KL_WSL,2022-p0,20,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 356,360,WTK 150 F,
